LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Period,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
CA,108,CA797,,52.5,N,-8,W,Europe,Ireland,,Slieve Bloom and Devilsbit Mountians,Lower,Mississippian,Tournaisian,,Calcretes,,calcrete with Tournaisian spores,Feehan(1982),
CA,109,CA798,,54.5,N,-8,W,Europe,Ireland,,Lough Allen Basin,Lower,Mississippian,probable Tournaisian age,,Calcretes,Kilcoo and Boyle Sandstones,,Philcox et al.(1992),
CA,110,CA799,,53,N,-2,W,United Kingdom,England,,Derbyshire,Lower,Mississippian,,,Calcretes,Eyam Limestone,,Wright(1990),
CA,111,CA800,,56,N,-4,W,United Kingdom,Scotland,,Edinburgh and West Lothian areas,Lower,Mississippian,,,Calcretes,Cementstone Group,,"Cameron,Stephenson(1985, p. 61)","see also Wright et al.,1993, under the Tournaisian Ballegan Formation"
CA,112,CA801,,53,N,-3,W,United Kingdom,Wales,,South Wales,L-M-U,Mississippian,,,Calcretes,,,"Wright(1982,1989) and Searl(1989)",
CA,113,CA802,,48,N,-58,W,N. America,Canada,,"Newfoundland:Bay St. George Subbasin,southwestern Newfoundland",Middle,Mississippian,Visean,,Calcretes,Codroy Group,,Knight(1983),
CA,114,CA803,,49,N,-57,W,N. America,Canada,,Newfoundland:Deer Lake Basin,Middle,Mississippian,Visean,,Calcretes,,,"Gall,Hyde(1989)","see also Hyde,1979, and Hyde,1995,Shanadithit Formation,Red Indian lake region"
CA,115,CA804,,46,N,-62,W,N. America,Nova Scotia,,,Middle,Mississippian,Visean,,Calcretes,Point Edward,,Gibling et al.(1987),
CA,116,CA805,,46,N,-61,W,N. America,Nova Scotia,,Cape Breton Island,Lower,Mississippian,Tournaisian,,Calcretes,possible Horton Group(Strathlone fm),,Hamblin(1992),
CA,117,CA805.1,,47.5,N,-66,W,N. America,Quebec,,Perce and the Gaspe Bay areas,Middle,Mississippian,Visean,,Calcretes,,,Jutras et al.(2001),
CA,118,CA805.2,,48.75,N,-64,W,N. America,Quebec,,Perce and the Gaspe Bay areas,Middle,Mississippian,Visean,,Calcretes,,,Jutras et al.(2001),
CA,119,CA806,,39,N,-87,W,N. America,United States,,Indiana,Middle,Mississippian,Meramec,,Calcretes,St. Genevieve,"""algal-mat laminations""  frm St. Genevieve Fm are really calcretes ","Abegg(written comm.,1990)points out that Carr's(1989, p.4) (see formation comments)",Hunter(1989) also has calcretes from same formation (see formation comments)
CA,120,CA807,,37,N,-101,W,N. America,United States,,Kansas:southwest corner of the State,Middle,Mississippian,,,Calcretes,,,"Abegg(written comm.,1990)",
CA,121,CA808,,37,N,-83,W,N. America,United States,,Kentucky:northeastern Kentucky ,L - M,Mississippian,Kinderhook and Meramec,,Calcretes,"Borden,Newman",,Walls et al.(1975),
CA,122,CA809,,39,N,-79,W,N. America,United States,,West Virginia,M - U,Mississippian,Meramecian-Chesterian,,Calcretes,Greenbrier,,"Al-Tawil,Read(1993)",
CA,123,CA809.1,,37.5,N,-81,W,,,,West Virginia,,,,,,,,,
T,124,T810,,19,N,8,E,Africa,Niger,,Air region,Lower,Mississippian,Tournaisian,,Tillites,,glacial material,Lang(1987),
